categoria,titulo,contenido,fecha
finanzas,"$4,700 Oro en el Horizonte? Estratega de UBS Cree que el Aumento Recién Está Comenzando a Calentarse","“El oro ha subido más del 60% este año, superando a todas las principales clases de activos, con el cierre del gobierno de EE.UU. y las renovadas tensiones comerciales inyectando nuevo impulso al comercio,” informó Kitco el lunes. Khandelwal destacó que, dado el talento del oro para marcar su propio ritmo—rara vez sincronizándose con acciones o bonos, especialmente cuando los mercados se ponen nerviosos—UBS favorece “una exposición de un solo dígito medio al oro en una cartera bien diversificada.” | El más reciente repunte del oro tiene a los inversores entusiasmados, y con el platino y el paladio también brillando más, el mercado de metales está lejos de ser aburrido. Los analistas dicen que la independencia del metal amarillo frente a las acciones y los bonos le otorga una ventaja estable cuando los mercados tambalean. Para aquellos que buscan equilibrio y un poco de brillo, la propuesta de UBS podría ser el cambio de cartera que todos están buscando. Khandelwal cree que se puede alcanzar un nuevo pico. | El estratega de UBS Global Wealth Management añadió:;2025-12-24 01:00:27",20 OCT 2025
finanzas,"'Las tarifas juegan un papel: la inflación en EE.UU. alcanza el 3% en septiembre, los mercados celebran'","El Índice de Precios al Consumidor (IPC) aumentó un 0.3% en septiembre, impulsado principalmente por aumentos en la gasolina (4.1%) y los alimentos (0.2%), con la energía también aumentando en un (1.5%) durante el mes. | El IPC durante los últimos doce meses subió al 3%, siendo esta la primera vez que el índice alcanza este número desde enero. No obstante, los economistas esperaban un resultado más duro, estimando que el número aumentaría un 0.4%. | Los números revelaron que el costo de vida ha estado aumentando constantemente para los estadounidenses, con la inflación solo aumentando desde que la administración Trump implementó sus políticas de aranceles en abril. | En su enfoque, la Reserva Federal de EE. UU. ha tomado el parámetro del IPC y los números de desempleo para sondear el mercado y decidir si recortar tasas de interés o no. | Estos niveles de IPC hacen poco para aliviar las preocupaciones sobre una hipotética aceleración de precios, pero la Reserva Federal podría estar más preocupada por la situación laboral, dispuesta a recortar tasas en un cuarto de punto. | Los mercados están reaccionando como si el escenario de recortes fuera casi seguro.;2025-12-24 00:59:21",24 OCT 2025
finanzas,Analistas Apuntan a $1M Bitcoin Con un Ciclo Impulsado por Instituciones en Auge,"El sentimiento optimista alrededor de bitcoin continúa creciendo mientras que la firma global de investigación de acciones y corretaje, Bernstein, emitió una perspectiva revisada. La actualización se centró en un desvío del ciclo tradicional de cuatro años, haciendo hincapié en un mercado cada vez más impulsado por la participación institucional. | “A la vista de la reciente corrección del mercado, creemos que el ciclo de bitcoin ha roto el patrón de 4 años (ciclo que alcanza su punto máximo cada 4 años) y ahora está en un ciclo alcista prolongado con una compra institucional más estable que compensa cualquier venta de pánico minorista,” dijo la firma, según Matthew Sigel, jefe de investigación de activos digitales en Vaneck, quien compartió la información. | Subrayando que el comportamiento de los ETF refleja una propiedad a largo plazo fortalecida, la declaración de Bernstein continuó: “A pesar de una corrección de ~30% en bitcoin, hemos visto menos del 5% de salidas a través de ETFs.” La firma añadió: | Bernstein, una importante firma de investigación y corretaje de Wall Street, mantiene una tesis profundamente optimista basada en la adopción institucional, dinámicas de oferta y convergencia tecnológica. Sus analistas destacan los ETFs de bitcoin al contado como una fuerza transformadora que podría impulsar flujos de capital sin precedentes, mientras esperan que las corporaciones amplíen la exposición de tesorería durante la década. También señalan la integración de la minería de bitcoin con el alojamiento de centros de datos de IA como una evolución estabilizadora que amplía el atractivo institucional. La firma argumenta que el suministro fijo de bitcoin lo posiciona para eventualmente superar al oro como el principal depósito de valor, describiendo el entorno como un “largo y agotador mercado alcista de criptomonedas” impulsado por una integración financiera estructural y una claridad regulatoria en aumento.;2025-12-24 00:58:53",09 DIC 2025
finanzas,Argentina y la Tesorería de EE. UU. Firman una Línea de Swap de $20 Mil Millones mientras Trump Advierte que el País Latinoamericano Está 'Muriendo',"El Banco Central de Argentina (BCRA) finalmente firmó un acuerdo de $20 mil millones con el Tesoro de los EE. UU. para estabilizar su tipo de cambio dólar-peso. El hito llega después de semanas de negociaciones con funcionarios de EE. UU., incluido el Secretario del Tesoro de EE. UU., Scott Bessent, mientras el Presidente Javier Milei buscaba consolidar este salvavidas antes de las elecciones de medio término. | Estos $20 mil millones son parte de una estrategia que también incluye intervenciones comprensivas del Tesoro de los EE. UU., que ha estado comprando pesos directamente en el mercado cambiario argentino. | La estabilización del tipo de cambio de moneda extranjera en Argentina podría tener un impacto profundo en el resultado de las próximas elecciones de medio término. Los resultados también determinarán si Trump sigue financiando a Argentina, ya que advirtió que si el partido de Milei resulta derrotado, EE. UU. no sería “generoso.” | Las elecciones, ganadas o perdidas, también enviarán un mensaje poderoso en Latinoamérica sobre la creciente intromisión política y económica de los EE. UU. en países extranjeros, un tema que políticos y analistas locales han rechazado. | El experimento argentino y su resolución pueden convertirse en un ejemplo de libro de texto sobre cómo manejar una crisis de deuda y devaluación con el apoyo de EE. UU.. También puede fracasar, sumiendo al país en una crisis de deuda durante varias décadas. En cualquier caso, los ojos del mundo estarán puestos en Argentina.;2025-12-24 01:00:10",22 OCT 2025
finanzas,Bajo $90K—El Rebote a Corto Plazo de Bitcoin Enfrenta Fuertes Obstáculos Técnicos,"En el gráfico diario, bitcoin continúa negociándose muy por debajo de sus principales marcadores de tendencia, reforzando la estructura descendente más amplia que ha estado vigente desde el retroceso desde el territorio de seis cifras. El precio actualmente se encuentra cerca del extremo superior del rango reciente, pero sigue estando limitado por debajo de múltiples promedios a largo plazo, incluidos el promedio móvil exponencial (EMA) en más de 50 períodos y el promedio móvil simple (SMA) en más de 100 períodos. | Las velas en este marco de tiempo muestran cuerpos encogidos y mechas frecuentes, un signo clásico de vacilación en lugar de fuerza direccional. Los patrones de volumen refuerzan ese mensaje, disminuyendo después de intentos de recuperación previos y ofreciendo poca evidencia de que se haya producido un cambio duradero en el control.;2025-12-24 00:57:29",15 DIC 2025
finanzas,Bank of Thailand advierte que se avecinan más congelaciones de cuentas,"Las estafas en línea, incluidos el fraude de centro de llamadas y los esquemas de inversión, se han convertido en un problema serio en Tailandia, afectando a miles de personas. El Banco de Tailandia, que ya ha tomado medidas para frenar la proliferación de estos delitos, ha advertido que estas medidas pueden intensificarse en los próximos días. | Daranee Saeju, Gobernadora Asistente a cargo de Protección al Consumidor en el Banco de Tailandia, enfatizó que más cuentas bancarias vinculadas a estos delitos pueden ser congeladas mientras el banco se enfoca en recuperar los fondos robados de las víctimas en colaboración con el Centro de Operación Contra las Estafas en Línea (AOC). | La operación ha afectado a miles de víctimas inocentes, principalmente residentes extranjeros en el país, quienes han experimentado bloqueos de tarjetas y negaciones de retiros de efectivo. | Saeju enfatizó que el banco está trabajando para abordar estas situaciones, explicando que la institución aceleraría la liberación de fondos para las personas que se determine que no están involucradas en estafas.;2025-12-24 01:06:00",28 SEPT 2025
finanzas,"Bitcoin, Ether ETFs muestran fuertes salidas mientras que Solana y XRP se mantienen en verde","El GBTC de Grayscale registró una salida de $27.51 millones, y el HODL de Vaneck completó las declinaciones con $21.25 millones en redenciones. A pesar de la caída, la actividad de comercio se mantuvo activa, con $5.27 mil millones en volumen y activos netos totales descendiendo a $112.27 mil millones. | En general, la sesión reflejó una rotación clara. Bitcoin y ether enfrentaron una renovada presión vendedora, pero la demanda por solana y XRP sugirió que los inversores todavía están dispuestos a desplegar capital, solo de manera más selectiva y con una mirada más aguda en las narrativas de crecimiento.;2025-12-24 00:55:50",16 DIC 2025
finanzas,"Bitcoin cae por debajo de $90,000"," Andrew Tate pregunta por qué la compra de $1B de Saylor no logró aumentar el precio;Después de comenzar la nueva semana con un salto del 4% a $92,000, el bitcoin finalmente terminó el día más bajo, cotizando alrededor de $90,000. Aunque la volatilidad no es nada nuevo para BTC, su movimiento de precios del 8 de diciembre pareció inusual, ya que coincidió con el anuncio de que la empresa de Michael Saylor, Strategy, había comprado 10,624 BTC adicionales, elevando su total de posiciones a 660,624 BTC. | Durante el fuerte rally del bitcoin en la segunda mitad del año, los anuncios regulares de los lunes de Michael Saylor sobre nuevas adquisiciones de BTC por parte de Strategy a menudo coincidían con un renovado impulso en el mercado. El efecto fue más pronunciado mientras la empresa perseguía una estrategia de acumulación agresiva financiada por deuda, amplificando el sentimiento de los inversores. Sin embargo, una vez que Strategy redujo sus compras apalancadas, el impacto de las declaraciones de Saylor disminuyó y resultó insuficiente para contrarrestar la subsiguiente tendencia a la baja del bitcoin. | Desde que aparentemente tocó fondo el 21 de noviembre, BTC ha estado apreciándose lentamente, renovando esperanzas de que aún pueda terminar 2025 con modestas ganancias. Sin embargo, la criptomoneda principal ha luchado por mantener un impulso ascendente, con cada rally aparentemente incapaz de durar más que unos pocos días. La compra de casi $1 mil millón de BTC por parte de Strategy, que muchos esperaban que impulsara la criptomoneda, igualmente no logró desencadenar un rally que la llevara a recuperar los $100,000. | De hecho, justo cuando Saylor reveló la compra, BTC tendió a la baja, cayendo por debajo de $90,000. Esta acción del precio ha desconcertado a analistas y a algunos influencers como Andrew Tate, quien cuestionó públicamente por qué el anuncio no logró levantar la criptomoneda. | “Soy un gran fan de BTC, pero micro strat compra 10k BTC en un solo día, y el precio no se mueve. Explícame eso,” preguntó Tate en un post en X. | Mientras algunos analistas en las redes sociales atribuyeron el desempeño decepcionante de BTC a una supuesta manipulación del mercado por un solo gran trader, Jacob King, un analista financiero y contrarian, argumentó que la economía cripto está en las primeras etapas de un mercado bajista, por lo tanto, el “bombeo escenificado” de Saylor no traerá el alivio anticipado. King sugirió que es poco probable que los inversores se sientan tranquilos por un hombre cuyas operaciones anteriores están “bajo agua”.;2025-12-24 00:56:47",09 DIC 2025
finanzas,"Bitcoin pierde $90K, los osos acumulan más de $200 millones en liquidaciones","El Bitcoin sigue bajando después de no haber logrado rebotar desde una pendiente negativa durante los últimos dos meses, “Up-tober” y “Moon-vember”, que no fueron positivos para la moneda. | BTC registró una caída intradía del 4,29%, ya que no pudo generar suficiente interés para penetrar el nivel de $93,000 en su camino hacia arriba. El precio de la moneda cayó tan bajo como $89,185 en Bitstamp en el momento de escribir, mientras que los analistas financieros afirman que todavía hay margen para la baja. | Finalmente, McGlone publicó que Bitcoin liderará la próxima recesión, y que 2026 será el tercer año bajista para el S&P 500 desde 2008. | Aunque el bitcoin registró precios récord a principios de este año, el sentimiento se volvió bajista en medio de lo que los analistas etiquetaron como una crisis de liquidez, con posiciones relativamente pequeñas causando grandes cambios en el mercado de criptomonedas. | No obstante, los toros y los osos están teniendo una intensa lucha, ya que hay elementos que apoyan el aumento del bitcoin mientras que otros lo suprimen. Entre los primeros está la decisión esperada de la Reserva Federal de recortar las tasas de interés y el fin de la política de endurecimiento cuantitativo de la institución. | No obstante, el peligro podría venir de Asia, ya que se espera que el Banco de Japón suba las tasas de interés en el país, con el gobierno preparado para ejecutar uno de los programas de estímulo más grandes desde la pandemia de COVID. | Esto podría acelerar la caída del bitcoin a medida que los inversores deshacen su operación de carry trade en yenes, vendiendo activos de riesgo como el bitcoin para cubrir sus préstamos en el país del sol naciente.;2025-12-24 00:51:23",05 DIC 2025
finanzas,Bitcoin Puede Haber Alcanzado su Mínimo Mientras Grayscale Proyecta Nuevos Máximos,"El equipo de investigación de Grayscale Investments, gestor de activos digitales, publicó un informe el 1 de diciembre que evaluó el reciente declive de bitcoin y se centró en sus perspectivas de mercado. El grupo concluyó que la caída encaja dentro del comportamiento típico de un mercado alcista e indicó que el bitcoin podría potencialmente alcanzar nuevos máximos en 2026 basado en múltiples factores técnicos, estructurales y macroeconómicos. | El informe afirma: | “Estratégicamente, algunos indicadores apuntan a un fondo a corto plazo, mientras que otros aún están mezclados. Hacia fin de año, los catalizadores positivos pueden incluir otro recorte de tasas por parte de la Fed y avances bipartidistas en la legislación sobre criptomonedas,” señaló Grayscale. El equipo argumentó que las correcciones de bitcoin —históricamente frecuentes y a menudo abruptas— no implican un mercado bajista de varios años. Añadieron: “Aunque las perspectivas son inciertas, creemos que la tesis del ciclo de cuatro años resultará ser incorrecta, y que el precio de bitcoin potencialmente alcanzará nuevos máximos el próximo año.” | Para apoyar esta visión, los analistas de la firma señalaron la ausencia de un rally parabólico, que típicamente indica sobrecalentamiento, y la creciente importancia de los flujos de productos cotizados en bolsa (ETP) y las tesorerías institucionales como fuentes estabilizadoras de demanda. El grupo también observó un aumento de la cobertura y una reducción de la especulación, señalando: | Aun así, reconocieron que una actividad de futuros más débil, anteriores salidas de ETP y ventas de poseedores de largo plazo significan que la confirmación de una recuperación sostenida aún no es definitiva. | Las proyecciones de Grayscale para bitcoin dependen en gran medida de las condiciones macroeconómicas y regulatorias en evolución. Un recorte de tasas de la Reserva Federal en diciembre reduciría las tasas de interés reales, una dinámica históricamente asociada con un mejor desempeño en activos alternativos que compiten con el Dólar estadounidense. El equipo destacó que el trabajo bipartidista en la legislación sobre criptomonedas podría mejorar aún más la estructura del mercado, reducir la incertidumbre regulatoria y apoyar la adopción institucional. Argumentaron que estos desarrollos reforzarían la demanda a largo plazo incluso si la negociación a corto plazo sigue siendo volátil.;2025-12-24 00:53:55",05 DIC 2025
gobiernos,"'Intercambios de Efectivo a Criptomonedas' Financian el Crimen Global, Dice la Agencia Nacional del Crimen del Reino Unido","Las autoridades del Reino Unido (UK) han intensificado los esfuerzos para interrumpir las redes de lavado de dinero vinculadas a criptomonedas, advirtiendo que los mensajeros de efectivo siguen siendo un enlace crítico en el ecosistema criminal. | “Están en nuestras comunidades y hacen que el ecosistema criminal funcione, porque si no puedes beneficiarte de tus crímenes, ¿para qué molestarse?”, explicó Melki. | Desde el lanzamiento de “Operación Desestabilizar”, las fuerzas del orden han realizado 128 arrestos, y más de $32.75 millones (£25 millones) en efectivo y criptomonedas han sido incautados solo en el Reino Unido. La inteligencia de la operación también ha permitido que los socios internacionales de la NCA incauten aproximadamente $27 millones en incautaciones no realizadas en el Reino Unido. | Además de los arrestos e incautaciones, las autoridades del Reino Unido lanzaron recientemente una campaña de concienciación pública con mensajes exhibidos en estaciones de servicio en todo el Reino Unido. Si bien millones de británicos vieron los avisos, Melki enfatizó que estaban dirigidos directamente a los lavadores: | “Tu elección es simple: o dejas este tipo de trabajo, o prepárate para enfrentar a uno de nuestros oficiales y la realidad de tus elecciones. El dinero fácil lleva a tiempos difíciles.” | La advertencia subraya la creciente preocupación de que el papel de las criptomonedas en los esquemas de lavado está aumentando, con los mensajeros de efectivo actuando como el puente esencial entre las transacciones en la cadena de bloques y el sistema financiero físico.;2025-12-24 01:14:08",23 NOV 2025
gobiernos,130 plataformas cripto en la sombra eliminadas en la implacable represión de Kazajistán,"Se citó a Bizhanov diciendo: | La iniciativa está alineada con la Ley de Activos Digitales de Kazajistán, que solo permite operar legalmente a los intercambios con licencia otorgada por la Autoridad de Servicios Financieros de Astana (AFSA) y conectados a bancos locales. Las plataformas no registradas fuera de este marco se consideran ilegales. | Además, explicó que la AFM había descubierto 81 grupos de sombra con un movimiento ilícito que asciende a 24 mil millones de KZT ($43 millones) en 2024, subrayando los riesgos persistentes asociados a retiros de efectivo anónimos. | La AFM, en coordinación con el Ministerio de Justicia y el Ministerio de Inteligencia Artificial, ha introducido procedimientos de verificación más estrictos para el registro empresarial a fin de evitar que empresas ficticias sean utilizadas en delitos financieros. En los últimos tres años, las autoridades han revocado el registro de 3,600 firmas ficticias vinculadas a 30,000 transacciones fraudulentas por un total de 280 mil millones de KZT. | Analistas señalan que mientras que la represión destaca la fuerte postura regulatoria de Kazajistán, establecer un marco de licencias claro y eficiente podría posicionar al país como un centro regional para la innovación blockchain cumpliendo con regulaciones.;2025-12-24 01:07:18",10 OCT 2025
gobiernos,155 solicitudes de ETF de criptomonedas señalan un enorme impulso en el aterrizaje institucional.,"Una ola de optimismo está barriendo el sector de activos digitales a medida que las solicitudes de productos cotizados en bolsa (ETP) de criptomonedas alcanzan niveles sin precedentes, indicando una sólida confianza institucional en la trayectoria del mercado. El analista de ETF de Bloomberg, Eric Balchunas, compartió el 21 de octubre que se han realizado un récord de 155 solicitudes de ETP desde 2024, representando 35 criptomonedas diferentes. Describiendo la avalancha de solicitudes como histórica, Balchunas sugirió que el total podría exceder las 200 en el próximo año, a medida que los gestores de activos compiten por lanzar nuevos fondos de inversión cripto. | Aclaró que la lista refleja solo solicitudes pendientes y excluye los ETF que ya están comerciando, lo que explica por qué bitcoin y ether no lideran en número. “Esto es solo solicitudes. No incluye los ETF en el mercado. Por eso bitcoin no está en la cima ni ether porque tantos han pasado a través de la SEC. Estos son solo los que esperan en la fila,” explicó. | Según los datos, solana (SOL) y bitcoin (BTC) lideran con 23 solicitudes cada uno, seguidos por XRP con 20. Ethereum (ETH) tiene 16, y los productos de cestas representan 10. Litecoin (LTC) registró 5 solicitudes, mientras que avalanche (AVAX), dogecoin (DOGE) y polkadot (DOT) tienen 4 cada uno. SEI, hedera (HBAR), SUI, Binance Coin (BNB) y cardano (ADA) cada uno registró 3.;2025-12-24 01:10:34",23 OCT 2025
